"Ref","Pieces","Device","Value","Package","Description","Suplier","Suplier Part Number","URL","Total Pieces","Birim USD","Maaliyet"
"R3","1","Resistor","100K","0402","RES.(1005) 0402 100K Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0104TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0104TCE/402504"")"
"R6, R7","2","Resistor","22R %1","0402","RES.(1005) 0402 22 Ohms 1% 1/16W 100PPM SMT","Ozdisan","RC0402FR-0722RL","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/RC0402FR-0722RL/437110"")"
"R8","1","Resistor","15K %1","0402","RES.(1005) 0402 15K Ohms 1% 1/16W 100PPM","Ozdisan","0402WGF1502TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGF1502TCE/350350"")"
"R9","1","Resistor","22K %1","0402","RES.(1005) 0402 22K Ohms 1% 1/16W 100PPM","Ozdisan","0402WGF2202TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGF2202TCE/359884"")"
"R11, R12","2","Resistor","4.7K","0402","RES.(1005) 0402 4.7K Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0472TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0472TCE/431884"")"
"R13, R14, R15","3","Resistor","470R","0402","RES.(1005) 0402 470 Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0471TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0471TCE/453099"")"
"SW1","1","SW_MEC_5G","B3U-1000P","SMT V/T","SWITCH TACT 3.00x2.50 1.60mm 153gF SMT V/T","Ozdisan","B3U-1000P","=KÖPRÜ(""https://ozdisan.com/elektromekanik-komponentler/sivicler-ve-anahtarlar/tact-sivicler/B3U-1000P/517704"")"
"TP1","1","TestPoint","U1_TX","","","","","=KÖPRÜ("""")"
"TP2","1","TestPoint","U1_RX","","","","","=KÖPRÜ("""")"
"TP3","1","TestPoint","SWDIO","","","","","=KÖPRÜ("""")"
"TP4","1","TestPoint","SWCLK","","","","","=KÖPRÜ("""")"
"TP5","1","TestPoint","SWO","","","","","=KÖPRÜ("""")"
"TP6","1","TestPoint","NRST","","","","","=KÖPRÜ("""")"
"TP7","1","TestPoint","PB0","","","","","=KÖPRÜ("""")"
"U1","1","TPS63031DSK","TPS63031DSK","","","","","=KÖPRÜ("""")"
"U2","1","STM32F722RETx","STM32F722RETx","LQFP64","IC MCU 32BIT 512KB FLASH 64LQFP","Ozdisan","STM32F722RET6","=KÖPRÜ(""https://ozdisan.com/entegre-devreler-icler/embedded-entegreler/mikroislemciler/STM32F722RET6/638141"")"
"U3","1","MPU-6500","MPU-6500","","","","","=KÖPRÜ("""")"
"U4","1","MS5611-01BA","MS5611-01BA","8-SMD","SENSOR BAROMETRIC PRESSURE 1.8V-3.6V","Ozdisan","MS561101BA03-50","=KÖPRÜ(""https://ozdisan.com/Product/Detail/616292/MS561101BA03-50"")"
"U5","1","W25X20CLUXIG_TR","W25Q80DVUXIE-TR","USON8","IC-25Q80 FLASH 8MB 104MHZ 8-USON","Ozidsan","W25Q80DVUXIE-TR","=KÖPRÜ(""https://ozdisan.com/entegre-devreler-icler/hafiza-entegreleri/hafiza-entegreleri/W25Q80DVUXIE-TR/622014"")"
"U6","1","5020","5020","","","","","=KÖPRÜ("""")"
"Y1","1","Resonator_Small","8MHz","3-SMD","CRYSTAL RESONATOR 8.00MHZ 33PF SMD","Ozdisan","CSTCE8M00G55-R0","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kristaller-osilatorler-ve-rezanatorler/rezonatorler/CSTCE8M00G55-R0/708030"")"
"Date:","24.03.2024 23:41:49"
"Tool:","Eeschema 7.0.8"
"Component Count:","75"
